iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
33,"(21, 3)","(22, 3)",West,"[(20, 3) via West]","[(21, 3):22, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(20, 3):21, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3)]",20,22,22
34,"(20, 3)","(21, 3)",West,"[(19, 3) via West]","[(20, 3):21, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(19, 3):20, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3)]",21,21,21
35,"(19, 3)","(20, 3)",West,"[(18, 3) via West]","[(19, 3):20, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(18, 3):19, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3)]",22,20,20
36,"(18, 3)","(19, 3)",West,"[(17, 3) via West]","[(18, 3):19, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(17, 3):18, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3), (19, 3)]",23,19,19
37,"(17, 3)","(18, 3)",West,"[(16, 3) via West]","[(17, 3):18, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(16, 3):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3)]",24,18,18
38,"(16, 3)","(17, 3)",West,"[(15, 3) via West]","[(16, 3):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(15, 3):16, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3)]",25,17,17
39,"(15, 3)","(16, 3)",West,"[(15, 4) via North, (15, 2) via South, (14, 3) via West]","[(15, 3):16, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(15, 2):15, (14, 3):15, (15, 4):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3)]",26,16,16
40,"(15, 2)","(15, 3)",South,"[(15, 1) via South]","[(15, 2):15, (14, 3):15, (15, 4):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(15, 1):14, (14, 3):15, (15, 4):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3)]",27,15,15
41,"(15, 1)","(15, 2)",South,"[(16, 1) via East]","[(15, 1):14, (14, 3):15, (15, 4):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(14, 3):15, (16, 1):15, (15, 4):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (15, 2)]",28,14,14
42,"(14, 3)","(15, 3)",West,"[(13, 3) via West]","[(14, 3):15, (16, 1):15, (15, 4):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(13, 3):14, (16, 1):15, (15, 4):17, (24, 1):23, (28, 1):27, (25, 4):27, (27, 4):29, (33, 4):35, (31, 6):35, (35, 4):37]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (31, 4), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (27, 1), (26, 3), (25, 3), (24, 3), (23, 3), (23, 2), (23, 1), (22, 1), (21, 1), (20, 1), (19, 1), (22, 3), (21, 3), (20, 3), (19, 3), (18, 3), (17, 3), (16, 3), (15, 3), (15, 2), (15, 1)]",27,15,15
