iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
40,"(27, 2)","(27, 3)",South,"[(27, 1) via South]","[(27, 2), (26, 3), (29, 11), (33, 11), (35, 9), (27, 5)]","[(26, 3), (29, 11), (33, 11), (35, 9), (27, 5), (27, 1)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4)]",15,0,15
41,"(26, 3)","(27, 3)",West,"[(25, 3) via West]","[(26, 3), (29, 11), (33, 11), (35, 9), (27, 5), (27, 1)]","[(29, 11), (33, 11), (35, 9), (27, 5), (27, 1), (25, 3)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2)]",15,0,15
42,"(29, 11)","(30, 11)",West,[],"[(29, 11), (33, 11), (35, 9), (27, 5), (27, 1), (25, 3)]","[(33, 11), (35, 9), (27, 5), (27, 1), (25, 3)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3)]",16,0,16
43,"(33, 11)","(33, 10)",North,[],"[(33, 11), (35, 9), (27, 5), (27, 1), (25, 3)]","[(35, 9), (27, 5), (27, 1), (25, 3)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11)]",16,0,16
44,"(35, 9)","(34, 9)",East,"[(35, 10) via North]","[(35, 9), (27, 5), (27, 1), (25, 3)]","[(27, 5), (27, 1), (25, 3), (35, 10)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11)]",16,0,16
45,"(27, 5)","(27, 4)",North,"[(27, 6) via North]","[(27, 5), (27, 1), (25, 3), (35, 10)]","[(27, 1), (25, 3), (35, 10), (27, 6)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11), (35, 9)]",16,0,16
46,"(27, 1)","(27, 2)",South,"[(28, 1) via East]","[(27, 1), (25, 3), (35, 10), (27, 6)]","[(25, 3), (35, 10), (27, 6), (28, 1)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11), (35, 9), (27, 5)]",16,0,16
47,"(25, 3)","(26, 3)",West,"[(25, 4) via North, (24, 3) via West]","[(25, 3), (35, 10), (27, 6), (28, 1)]","[(35, 10), (27, 6), (28, 1), (25, 4), (24, 3)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11), (35, 9), (27, 5), (27, 1)]",16,0,16
48,"(35, 10)","(35, 9)",North,"[(35, 11) via North]","[(35, 10), (27, 6), (28, 1), (25, 4), (24, 3)]","[(27, 6), (28, 1), (25, 4), (24, 3), (35, 11)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11), (35, 9), (27, 5), (27, 1), (25, 3)]",17,0,17
49,"(27, 6)","(27, 5)",North,"[(27, 7) via North]","[(27, 6), (28, 1), (25, 4), (24, 3), (35, 11)]","[(28, 1), (25, 4), (24, 3), (35, 11), (27, 7)]","[(35, 1), (35, 2), (34, 1), (35, 3), (33, 1), (35, 4), (34, 3), (35, 5), (33, 3), (33, 4), (32, 3), (33, 5), (31, 3), (33, 6), (31, 4), (31, 2), (33, 7), (31, 5), (31, 1), (34, 7), (31, 6), (30, 5), (35, 7), (31, 7), (29, 5), (31, 8), (29, 4), (31, 9), (29, 3), (31, 10), (32, 9), (28, 3), (31, 11), (33, 9), (27, 3), (30, 11), (33, 10), (34, 9), (27, 4), (27, 2), (26, 3), (29, 11), (33, 11), (35, 9), (27, 5), (27, 1), (25, 3), (35, 10)]",17,0,17
