iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
33,"(7, 2)","(8, 2)",West,"[(7, 3) via North, (6, 2) via West]","[(7, 2):16, (16, 10):17]","[(16, 10):17, (7, 3):17, (6, 2):17]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10)]",16,0,16
34,"(16, 10)","(17, 10)",West,"[(15, 10) via West]","[(16, 10):17, (7, 3):17, (6, 2):17]","[(7, 3):17, (6, 2):17, (15, 10):18]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2)]",17,0,17
35,"(7, 3)","(7, 2)",North,"[(7, 4) via North]","[(7, 3):17, (6, 2):17, (15, 10):18]","[(6, 2):17, (15, 10):18, (7, 4):18]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10)]",17,0,17
36,"(6, 2)","(7, 2)",West,"[(5, 2) via West]","[(6, 2):17, (15, 10):18, (7, 4):18]","[(15, 10):18, (7, 4):18, (5, 2):18]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3)]",17,0,17
37,"(15, 10)","(16, 10)",West,"[(14, 10) via West]","[(15, 10):18, (7, 4):18, (5, 2):18]","[(7, 4):18, (5, 2):18, (14, 10):19]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2)]",18,0,18
38,"(7, 4)","(7, 3)",North,"[(8, 4) via East]","[(7, 4):18, (5, 2):18, (14, 10):19]","[(5, 2):18, (14, 10):19, (8, 4):19]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10)]",18,0,18
39,"(5, 2)","(6, 2)",West,"[(4, 2) via West]","[(5, 2):18, (14, 10):19, (8, 4):19]","[(14, 10):19, (8, 4):19, (4, 2):19]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4)]",18,0,18
40,"(14, 10)","(15, 10)",West,"[(13, 10) via West]","[(14, 10):19, (8, 4):19, (4, 2):19]","[(8, 4):19, (4, 2):19, (13, 10):20]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2)]",19,0,19
41,"(8, 4)","(7, 4)",East,"[(9, 4) via East]","[(8, 4):19, (4, 2):19, (13, 10):20]","[(4, 2):19, (13, 10):20, (9, 4):20]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10)]",19,0,19
42,"(4, 2)","(5, 2)",West,"[(3, 2) via West]","[(4, 2):19, (13, 10):20, (9, 4):20]","[(13, 10):20, (9, 4):20, (3, 2):20]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4)]",19,0,19
