iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"((1, 2), ((1, 1),))","((1, 1), ((1, 1),))",North,"[((1, 3), ((1, 1),)) via North, ((2, 2), ((1, 1),)) via East]","[((1, 2), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69]","[((1, 3), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),))]",19,48,67
23,"((1, 3), ((1, 1),))","((1, 2), ((1, 1),))",North,"[((1, 4), ((1, 1),)) via North]","[((1, 3), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69]","[((1, 4), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),))]",20,47,67
24,"((1, 4), ((1, 1),))","((1, 3), ((1, 1),))",North,[],"[((1, 4), ((1, 1),)):67, ((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69]","[((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),))]",21,46,67
25,"((10, 4), ())","((9, 4), ())",East,"[((11, 4), ()) via East]","[((10, 4), ()):69, ((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69]","[((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),)), ((1, 4), ((1, 1),))]",8,61,69
26,"((5, 5), ())","((5, 4), ())",North,"[((5, 6), ()) via North]","[((5, 5), ()):69, ((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71]","[((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),)), ((1, 4), ((1, 1),)), ((10, 4), ())]",12,57,69
27,"((3, 5), ())","((3, 4), ())",North,"[((3, 6), ()) via North]","[((3, 5), ()):69, ((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71]","[((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),)), ((1, 4), ((1, 1),)), ((10, 4), ()), ((5, 5), ())]",14,55,69
28,"((1, 3), ())","((1, 2), ())",North,"[((1, 4), ()) via North]","[((1, 3), ()):69, ((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71]","[((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71, ((1, 4), ()):71]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),)), ((1, 4), ((1, 1),)), ((10, 4), ()), ((5, 5), ()), ((3, 5), ())]",18,51,69
29,"((2, 1), ((1, 1),))","((1, 1), ((1, 1),))",East,"[((3, 1), ((1, 1),)) via East]","[((2, 1), ((1, 1),)):69, ((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71, ((1, 4), ()):71]","[((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71, ((1, 4), ()):71, ((3, 1), ((1, 1),)):71]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),)), ((1, 4), ((1, 1),)), ((10, 4), ()), ((5, 5), ()), ((3, 5), ()), ((1, 3), ())]",19,50,69
30,"((2, 2), ((1, 1),))","((1, 2), ((1, 1),))",East,"[((3, 2), ((1, 1),)) via East]","[((2, 2), ((1, 1),)):69, ((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71, ((1, 4), ()):71, ((3, 1), ((1, 1),)):71]","[((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71, ((1, 4), ()):71, ((3, 1), ((1, 1),)):71, ((3, 2), ((1, 1),)):71]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),)), ((1, 4), ((1, 1),)), ((10, 4), ()), ((5, 5), ()), ((3, 5), ()), ((1, 3), ()), ((2, 1), ((1, 1),))]",20,49,69
31,"((11, 4), ())","((10, 4), ())",East,"[((11, 3), ()) via South, ((12, 4), ()) via East]","[((11, 4), ()):71, ((5, 6), ()):71, ((3, 6), ()):71, ((1, 4), ()):71, ((3, 1), ((1, 1),)):71, ((3, 2), ((1, 1),)):71]","[((5, 6), ()):71, ((3, 6), ()):71, ((1, 4), ()):71, ((3, 1), ((1, 1),)):71, ((3, 2), ((1, 1),)):71, ((11, 3), ()):71, ((12, 4), ()):73]","[((5, 1), ()), ((5, 2), ()), ((6, 2), ()), ((7, 2), ()), ((8, 2), ()), ((9, 2), ()), ((9, 3), ()), ((9, 4), ()), ((8, 4), ()), ((7, 4), ()), ((6, 4), ()), ((5, 4), ()), ((4, 4), ()), ((3, 4), ()), ((3, 3), ()), ((3, 2), ()), ((3, 1), ()), ((2, 2), ()), ((2, 1), ()), ((1, 2), ()), ((1, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((1, 3), ((1, 1),)), ((1, 4), ((1, 1),)), ((10, 4), ()), ((5, 5), ()), ((3, 5), ()), ((1, 3), ()), ((2, 1), ((1, 1),)), ((2, 2), ((1, 1),))]",9,62,71
