iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
40,"(5, 2)","(6, 2)",West,"[(5, 3) via North]","[(5, 2):5, (16, 7):21, (23, 7):28]","[(5, 3):6, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2)]",32,5,5
41,"(5, 3)","(5, 2)",North,"[(5, 4) via North]","[(5, 3):6, (16, 7):21, (23, 7):28]","[(5, 4):7, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2)]",33,6,6
42,"(5, 4)","(5, 3)",North,"[(5, 5) via North]","[(5, 4):7, (16, 7):21, (23, 7):28]","[(5, 5):8, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3)]",34,7,7
43,"(5, 5)","(5, 4)",North,"[(5, 6) via North]","[(5, 5):8, (16, 7):21, (23, 7):28]","[(5, 6):9, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4)]",35,8,8
44,"(5, 6)","(5, 5)",North,"[(5, 7) via North]","[(5, 6):9, (16, 7):21, (23, 7):28]","[(5, 7):10, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5)]",36,9,9
45,"(5, 7)","(5, 6)",North,"[(4, 7) via West]","[(5, 7):10, (16, 7):21, (23, 7):28]","[(4, 7):9, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6)]",37,10,10
46,"(4, 7)","(5, 7)",West,"[(3, 7) via West]","[(4, 7):9, (16, 7):21, (23, 7):28]","[(3, 7):8, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7)]",38,9,9
47,"(3, 7)","(4, 7)",West,"[(3, 6) via South]","[(3, 7):8, (16, 7):21, (23, 7):28]","[(3, 6):7, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (4, 7)]",39,8,8
48,"(3, 6)","(3, 7)",South,"[(3, 5) via South]","[(3, 6):7, (16, 7):21, (23, 7):28]","[(3, 5):6, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (4, 7), (3, 7)]",40,7,7
49,"(3, 5)","(3, 6)",South,"[(3, 4) via South]","[(3, 5):6, (16, 7):21, (23, 7):28]","[(3, 4):5, (16, 7):21, (23, 7):28]","[(23, 6), (22, 6), (21, 6), (20, 6), (19, 6), (19, 5), (19, 4), (19, 3), (18, 4), (17, 4), (16, 4), (15, 4), (18, 6), (17, 6), (16, 6), (15, 6), (14, 6), (13, 6), (12, 6), (11, 6), (11, 5), (11, 4), (11, 3), (11, 2), (10, 2), (9, 2), (9, 3), (9, 4), (9, 5), (9, 6), (9, 7), (8, 7), (7, 7), (7, 6), (7, 5), (7, 4), (7, 3), (7, 2), (6, 2), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (4, 7), (3, 7), (3, 6)]",41,6,6
