iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
28,"(33, 6)","(34, 6)",West,"[(32, 6) via West]","[(33, 6), (29, 10), (33, 16)]","[(32, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6)]",27,0,27
29,"(32, 6)","(33, 6)",West,"[(31, 6) via West]","[(32, 6), (29, 10), (33, 16)]","[(31, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6)]",28,0,28
30,"(31, 6)","(32, 6)",West,"[(30, 6) via West]","[(31, 6), (29, 10), (33, 16)]","[(30, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6)]",29,0,29
31,"(30, 6)","(31, 6)",West,"[(29, 6) via West, (30, 5) via South]","[(30, 6), (29, 10), (33, 16)]","[(30, 5), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6)]",30,0,30
32,"(30, 5)","(30, 6)",South,"[(30, 4) via South]","[(30, 5), (29, 6), (29, 10), (33, 16)]","[(30, 4), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6)]",31,0,31
33,"(30, 4)","(30, 5)",South,"[(30, 3) via South, (31, 4) via East]","[(30, 4), (29, 6), (29, 10), (33, 16)]","[(31, 4), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5)]",32,0,32
34,"(31, 4)","(30, 4)",East,"[(31, 3) via South, (32, 4) via East]","[(31, 4), (30, 3), (29, 6), (29, 10), (33, 16)]","[(32, 4), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4)]",33,0,33
35,"(32, 4)","(31, 4)",East,"[(33, 4) via East]","[(32, 4), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(33, 4), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4)]",34,0,34
36,"(33, 4)","(32, 4)",East,"[(34, 4) via East]","[(33, 4), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 4), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4)]",35,0,35
37,"(34, 4)","(33, 4)",East,"[(34, 3) via South]","[(34, 4), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 3), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4)]",36,0,36
