iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
24,"(27, 2)","(27, 3)",South,"[(27, 1) via South]","[(27, 2):42, (26, 3):42, (33, 6):44, (31, 6):44, (27, 4):44]","[(26, 3):42, (27, 1):42, (33, 6):44, (31, 6):44, (27, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3)]",15,27,42
25,"(26, 3)","(27, 3)",West,"[(25, 3) via West]","[(26, 3):42, (27, 1):42, (33, 6):44, (31, 6):44, (27, 4):44]","[(27, 1):42, (25, 3):42, (33, 6):44, (31, 6):44, (27, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2)]",15,27,42
26,"(27, 1)","(27, 2)",South,"[(28, 1) via East]","[(27, 1):42, (25, 3):42, (33, 6):44, (31, 6):44, (27, 4):44]","[(25, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3)]",16,26,42
27,"(25, 3)","(26, 3)",West,"[(25, 4) via North, (24, 3) via West]","[(25, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44]","[(24, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3), (27, 1)]",16,26,42
28,"(24, 3)","(25, 3)",West,"[(23, 3) via West]","[(24, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(23, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3), (27, 1), (25, 3)]",17,25,42
29,"(23, 3)","(24, 3)",West,"[(23, 2) via South, (22, 3) via West]","[(23, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(23, 2):42, (22, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3), (27, 1), (25, 3), (24, 3)]",18,24,42
30,"(23, 2)","(23, 3)",South,"[(23, 1) via South]","[(23, 2):42, (22, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(22, 3):42, (23, 1):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3), (27, 1), (25, 3), (24, 3), (23, 3)]",19,23,42
31,"(22, 3)","(23, 3)",West,"[(21, 3) via West]","[(22, 3):42, (23, 1):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(23, 1):42, (21, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3), (27, 1), (25, 3), (24, 3), (23, 3), (23, 2)]",19,23,42
32,"(23, 1)","(23, 2)",South,"[(24, 1) via East, (22, 1) via West]","[(23, 1):42, (21, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44]","[(21, 3):42, (22, 1):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44, (24, 1):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3), (27, 1), (25, 3), (24, 3), (23, 3), (23, 2), (22, 3)]",20,22,42
33,"(21, 3)","(22, 3)",West,"[(20, 3) via West]","[(21, 3):42, (22, 1):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44, (24, 1):44]","[(22, 1):42, (20, 3):42, (33, 6):44, (31, 6):44, (27, 4):44, (28, 1):44, (25, 4):44, (24, 1):44]","[(35, 1), (34, 1), (33, 1), (35, 2), (35, 3), (34, 3), (33, 3), (32, 3), (31, 3), (31, 2), (31, 1), (35, 4), (33, 4), (31, 4), (35, 5), (33, 5), (31, 5), (30, 5), (29, 5), (29, 4), (29, 3), (28, 3), (27, 3), (27, 2), (26, 3), (27, 1), (25, 3), (24, 3), (23, 3), (23, 2), (22, 3), (23, 1)]",20,22,42
